epoch,accuracy,loss,val_accuracy,val_loss
0,0.7078484296798706,1.0122584104537964,0.9928315281867981,0.04664808139204979
1,0.8498955368995667,0.45264604687690735,0.9976105093955994,0.0184993427246809
2,0.8818263411521912,0.33147475123405457,0.9976105093955994,0.014493416994810104
3,0.9092808365821838,0.2640768885612488,0.9976105093955994,0.008031986653804779
4,0.9167412519454956,0.22240187227725983,0.9976105093955994,0.010829713195562363
5,0.9268875122070312,0.2030082643032074,0.9976105093955994,0.00751888332888484
6,0.9358400702476501,0.17711205780506134,0.9976105093955994,0.008629894815385342
7,0.9412115812301636,0.16101382672786713,0.9988052845001221,0.004638998303562403
8,0.9486720561981201,0.13799984753131866,0.9988052845001221,0.004678012803196907
9,0.9507609605789185,0.12261766195297241,0.9988052845001221,0.0036243575159460306
10,0.9555356502532959,0.12331727892160416,1.0,0.0026042223908007145
11,0.9612056016921997,0.11142709106206894,1.0,0.0015488557983189821
12,0.9632945656776428,0.10123910754919052,1.0,0.002991609275341034
13,0.9656819105148315,0.09087560325860977,1.0,0.002308047842234373
14,0.9713518619537354,0.08444556593894958,1.0,0.001098043518140912
