epoch,accuracy,loss,val_accuracy,val_loss
0,0.8000596761703491,0.5144500136375427,0.9976105093955994,0.02715890109539032
1,0.9062966108322144,0.2439764142036438,0.9988052845001221,0.0125605883076787
2,0.9230080842971802,0.1950797140598297,1.0,0.007701086811721325
3,0.9358400702476501,0.16358111798763275,1.0,0.006625630892813206
4,0.9468815326690674,0.14488562941551208,1.0,0.006954948417842388
5,0.9456878304481506,0.1364365816116333,1.0,0.003075108863413334
6,0.9570277333259583,0.11446152627468109,1.0,0.0032613580115139484
7,0.9621008634567261,0.10317781567573547,1.0,0.0019653753843158484
8,0.9692628979682922,0.0919642522931099,1.0,0.002001726534217596
9,0.971650242805481,0.07960918545722961,1.0,0.002868905197829008
10,0.9770218133926392,0.07348736375570297,1.0,0.0031607630662620068
11,0.9803043603897095,0.06425446271896362,1.0,0.0014232966350391507
12,0.9856759309768677,0.05474137142300606,1.0,0.0016120882937684655
13,0.9844822287559509,0.05249153822660446,1.0,0.0013165288837626576
14,0.9907490015029907,0.04392698407173157,1.0,0.0010498770279809833
